timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1744890650805,0,POST Rent Car,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in path at index 41: http://localhost:8080/cars/rent/ABC-ABC-${regNum}1105554,Scenario 2 - Rent Cars 2-19,text,false,,1192,0,1,1,http://localhost:8080/cars/rent/ABC-ABC-${regNum}1105554,0,0,0
1744890650805,0,POST Rent Car,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in path at index 45: http://localhost:8080/cars/rent/ABC-ABC-ABC-${regNum}1110565554,Scenario 2 - Rent Cars 2-19,text,false,,1199,0,1,1,http://localhost:8080/cars/rent/ABC-ABC-ABC-${regNum}1110565554,0,0,0
1744890650905,0,POST Rent Car,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in path at index 37: http://localhost:8080/cars/rent/ABC-${regNum}1057,Scenario 2 - Rent Cars 2-20,text,false,,1185,0,1,1,http://localhost:8080/cars/rent/ABC-${regNum}1057,0,0,0
1744890650905,0,POST Rent Car,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in path at index 41: http://localhost:8080/cars/rent/ABC-ABC-${regNum}1105857,Scenario 2 - Rent Cars 2-20,text,false,,1192,0,1,1,http://localhost:8080/cars/rent/ABC-ABC-${regNum}1105857,0,0,0
1744890650905,0,POST Rent Car,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in path at index 45: http://localhost:8080/cars/rent/ABC-ABC-ABC-${regNum}1110595857,Scenario 2 - Rent Cars 2-20,text,false,,1199,0,1,1,http://localhost:8080/cars/rent/ABC-ABC-ABC-${regNum}1110595857,0,0,0
1744890651000,0,POST Rent Car,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in path at index 37: http://localhost:8080/cars/rent/ABC-${regNum}1060,Scenario 2 - Rent Cars 2-21,text,false,,1185,0,1,1,http://localhost:8080/cars/rent/ABC-${regNum}1060,0,0,0
1744890651000,0,POST Rent Car,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in path at index 41: http://localhost:8080/cars/rent/ABC-ABC-${regNum}110616,Scenario 2 - Rent Cars 2-21,text,false,,1191,0,1,1,http://localhost:8080/cars/rent/ABC-ABC-${regNum}110616,0,0,0
1744890651001,0,POST Rent Car,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in path at index 45: http://localhost:8080/cars/rent/ABC-ABC-ABC-${regNum}111062616,Scenario 2 - Rent Cars 2-21,text,false,,1198,0,1,1,http://localhost:8080/cars/rent/ABC-ABC-ABC-${regNum}111062616,0,0,0
1744890651101,0,POST Rent Car,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in path at index 37: http://localhost:8080/cars/rent/ABC-${regNum}1063,Scenario 2 - Rent Cars 2-22,text,false,,1185,0,1,1,http://localhost:8080/cars/rent/ABC-${regNum}1063,0,0,0
1744890651101,0,POST Rent Car,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in path at index 41: http://localhost:8080/cars/rent/ABC-ABC-${regNum}1106463,Scenario 2 - Rent Cars 2-22,text,false,,1192,0,1,1,http://localhost:8080/cars/rent/ABC-ABC-${regNum}1106463,0,0,0
1744890651101,0,POST Rent Car,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in path at index 45: http://localhost:8080/cars/rent/ABC-ABC-ABC-${regNum}1110656463,Scenario 2 - Rent Cars 2-22,text,false,,1199,0,1,1,http://localhost:8080/cars/rent/ABC-ABC-ABC-${regNum}1110656463,0,0,0
1744890651205,0,POST Rent Car,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in path at index 37: http://localhost:8080/cars/rent/ABC-${regNum}1066,Scenario 2 - Rent Cars 2-23,text,false,,1185,0,1,1,http://localhost:8080/cars/rent/ABC-${regNum}1066,0,0,0
1744890651205,0,POST Rent Car,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in path at index 41: http://localhost:8080/cars/rent/ABC-ABC-${regNum}1106766,Scenario 2 - Rent Cars 2-23,text,false,,1192,0,1,1,http://localhost:8080/cars/rent/ABC-ABC-${regNum}1106766,0,0,0
1744890651205,0,POST Rent Car,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in path at index 45: http://localhost:8080/cars/rent/ABC-ABC-ABC-${regNum}1110686766,Scenario 2 - Rent Cars 2-23,text,false,,1199,0,1,1,http://localhost:8080/cars/rent/ABC-ABC-ABC-${regNum}1110686766,0,0,0
